Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIW10821-5,100.0,98.2955,25
2022-08-27,LCAIW10821-3,100.0,100.0,25
2022-08-27,LCAIW10821-2,100.0,100.0,25
2022-08-27,LCAIW10821-1,100.0,100.0,25
2022-08-27,LCAIW10254-1,100.0,100.0,12
2022-08-27,LCAIW10254-2,100.0,99.8413,12
2022-08-27,LCAIW10254-3,100.0,99.7925,12
2022-08-27,LCAIW10254-5,100.0,100.0,12
2022-08-27,LCAIW10254-6,100.0,100.0,12
2022-08-27,LCAIW10254-7,100.0,100.0,12
2022-08-27,LCAIW10252-1,99.665,100.0,12
2022-08-27,LCAIW10252-2,100.0,100.0,12
2022-08-27,LCAIW10252-3,99.9226,99.6751,12
2022-08-27,LCAIW10252-5,100.0,99.8024,12
2022-08-27,LCAIW10252-6,100.0,100.0,12
2022-08-27,LCAIW10252-7,100.0,99.7551,12
2022-08-27,LCAIW10245-1,100.0,100.0,12
2022-08-27,LCAIW10245-2,100.0,99.9692,12
2022-08-27,LCAIW10245-3,100.0,99.8265,12
2022-08-27,LCAIW10245-5,100.0,99.9102,12
2022-08-27,LCAIW10245-6,100.0,99.7725,12
2022-08-27,LCAIW10245-7,100.0,100.0,12
2022-08-27,LCAIW10238-1,100.0,99.9284,12
2022-08-27,LCAIW10238-2,100.0,100.0,12
2022-08-27,LCAIW10238-3,100.0,100.0,12
2022-08-27,LCAIW10238-5,100.0,100.0,12
2022-08-27,LCAIW10238-6,99.9152,100.0,12
2022-08-27,LCAIW10238-7,100.0,99.8233,12
2022-08-27,LCAIW10231-1,100.0,99.7683,12
2022-08-27,LCAIW10231-2,100.0,99.8026,12
2022-08-27,LCAIW10231-3,100.0,99.8904,12
2022-08-27,LCAIW10231-5,100.0,100.0,12
2022-08-27,LCAIW10231-6,100.0,97.5976,12
2022-08-27,LCAIW10231-7,100.0,99.3976,12
2022-08-27,LCAIW10228-1,100.0,100.0,31
2022-08-27,LCAIW10228-2,100.0,100.0,31
2022-08-27,LCAIW10228-3,100.0,100.0,31
2022-08-27,LCAIW10228-5,100.0,100.0,31
2022-08-27,LCAIW10228-6,100.0,100.0,31
2022-08-27,LCAIW10228-7,99.7481,100.0,31
2022-08-27,LCAIW10217-1,100.0,100.0,31
2022-08-27,LCAIW10217-2,100.0,100.0,31
2022-08-27,LCAIW10217-3,100.0,100.0,31
2022-08-27,LCAIW10217-5,100.0,99.2,31
2022-08-27,LCAIW10217-6,100.0,99.7717,31
2022-08-27,LCAIW10217-7,100.0,100.0,31
2022-08-27,LCAIN30531-1,100.0,99.9167,24
2022-08-27,LCAIN30531-2,100.0,99.9758,24
2022-08-27,LCAIN30531-3,99.981,99.9075,24
2022-08-27,LCAIN30531-5,100.0,99.8102,24
2022-08-27,LCAIN30531-6,100.0,99.8674,24
2022-08-27,LCAIN30531-7,100.0,99.6564,24
2022-08-27,LCAIN30250-1,100.0,100.0,24
2022-08-27,LCAIN30250-2,100.0,100.0,24
2022-08-27,LCAIN30250-3,100.0,100.0,24
2022-08-27,LCAIN30250-5,99.6795,99.7585,24
2022-08-27,LCAIN30250-6,100.0,100.0,24
2022-08-27,LCAIN30250-7,100.0,100.0,24
2022-08-27,LCAIN30178-7,99.839,100.0,24
2022-08-27,LCAIN30178-6,99.9325,99.7372,24
2022-08-27,LCAIN30178-5,99.8891,99.7902,24
2022-08-27,LCAIN30178-3,100.0,100.0,24
2022-08-27,LCAIN30178-2,99.9805,99.9432,24
2022-08-27,LCAIN30178-1,99.9806,99.9094,24
2022-08-27,LCAIN30173-1,100.0,99.8943,24
2022-08-27,LCAIN30173-2,100.0,99.9459,24
2022-08-27,LCAIN30173-3,100.0,100.0,24
2022-08-27,LCAIN30173-5,100.0,99.9175,24
2022-08-27,LCAIN30173-6,100.0,99.9209,24
2022-08-27,LCAIN30173-7,100.0,100.0,24
2022-08-27,LCAIN30083-1,100.0,100.0,4
2022-08-27,LCAIN30083-2,100.0,100.0,4
2022-08-27,LCAIN30083-3,100.0,100.0,4
2022-08-27,LCAIN30083-5,100.0,99.6689,4
2022-08-27,LCAIN30083-6,100.0,99.7753,4
2022-08-27,LCAIN30083-7,100.0,100.0,4
2022-08-27,LCAIN30080-1,100.0,100.0,4
2022-08-27,LCAIN30080-2,100.0,99.9343,4
2022-08-27,LCAIN30080-3,100.0,100.0,4
2022-08-27,LCAIN30080-5,100.0,99.8435,4
2022-08-27,LCAIN30080-6,100.0,100.0,4
2022-08-27,LCAIN30080-7,100.0,100.0,4
2022-08-27,LCAIN30077-1,100.0,99.9412,4
2022-08-27,LCAIN30077-2,100.0,99.9228,4
2022-08-27,LCAIN30077-3,100.0,99.8799,4
2022-08-27,LCAIN30077-5,99.7625,99.7963,4
2022-08-27,LCAIN30077-6,100.0,100.0,4
2022-08-27,LCAIN30077-7,100.0,99.7159,4
2022-08-27,LCAIN30073-1,100.0,99.9327,4
